95.4554
605.684
0
Level2Music
1
level4_A
15
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,150
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,113
121,117,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,117,117,132,113
0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,119,113
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,113
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,122
121,117,114,55,17,52,10,10,10,10,10,10,6,500,7,10,53,17,17,17,17,17,17,17,17,17,17,17,17,52,10,10,10,10,10,121,117,114,10,6
23,24,24,45,0,23,24,24,24,24,24,24,22,0,23,24,22,311,0,0,0,0,0,0,0,0,0,0,311,23,24,24,24,24,24,24,24,24,24,22
307,310,353,314,0,321,317,317,317,317,317,317,314,0,321,317,317,345,0,0,0,0,0,0,0,0,0,0,344,317,317,317,317,314,0,321,317,317,317,314
319,315,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,315,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,315,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,324,342,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,314,0,0,0,0,0,0,0,0,321,317,317,317,317,317,317,317,317,317,317,317,314
21
12,-1,2073.17,1211.29
35,-1,1227.26,748.209
25,-1,2943.73,1099.28
49,-1,240.057,67.9773
49,-1,1073.07,69.6282
49,-1,2525.1,67.9187
61,5,376.182,710.976
7,5,395.182,1294.92
46,-1,750.871,1242.11
46,-1,820.068,1241.23
46,-1,786.991,1170.36
46,-1,785.416,1096.33
46,-1,1796.47,667.413
6,5,3380.09,550.815
21,12,3565.93,725.269
32,2,1018.92,595.99
28,11,1548.84,1257.34
28,11,2143.53,926.635
28,11,3310.65,1233.7
5,12,2154.47,488.749,0
4,5,1830.43,664.774
117
2,Crate,3012.97,1227.09
2,Crate,2931.17,1226.36
2,Crate,2854.48,1226.36
2,Crate,2891.73,1155.51
2,Crate,2969.15,1155.51
2,Crate,2929.71,1083.21
0,HorizontalPipe,3746.81,1158.44
0,HorizontalPipe,3670.85,1158.44
0,HorizontalPipe,3593.44,1158.44
0,HorizontalPipe,3516.02,1158.44
0,HorizontalPipe,3436.41,1158.44
0,HorizontalPipe,3356.07,1158.44
0,HorizontalPipe,3280.84,1158.44
0,HorizontalPipe,3200.5,1158.44
0,HorizontalPipe,3120.16,1158.44
0,HorizontalPipe,3038.96,1158.44
0,HorizontalPipe,2987.83,1159.9
0,HorizontalPipe,2921.37,1159.9
0,HorizontalPipe,2881.93,1165.74
0,HorizontalPipe,2814.74,1161.36
0,HorizontalPipe,2735.86,1161.36
0,HorizontalPipe,2654.61,1161.36
0,HorizontalPipe,2572.81,1161.36
0,HorizontalPipe,2492.17,1161.36
0,HorizontalPipe,2421.32,1161.36
0,HorizontalPipe,2343.9,1161.36
0,HorizontalPipe,2262.54,1161.36
0,RightDownPipe,2163.21,1208.1
0,LeftTopPipe,2185.78,1183.33
0,HorizontalPipe,2141.01,1208.19
0,HorizontalPipe,2071.72,1208.19
0,HorizontalPipe,1992.86,1208.19
0,HorizontalPipe,1919.15,1208.19
0,LeftDownPipe,1839.92,1207.72
0,VerticallyPipe,1820.27,1185.26
0,RightTopPipe,1820.22,1106.43
0,HorizontalPipe,1788.9,1085.51
0,HorizontalPipe,1708.5,1085.51
0,HorizontalPipe,1629.49,1085.51
0,HorizontalPipe,1548.54,1085.51
0,HorizontalPipe,1468.98,1085.51
0,HorizontalPipe,1395.59,1085.51
0,HorizontalPipe,1316.96,1085.51
0,HorizontalPipe,1238.83,1085.51
0,HorizontalPipe,1162.17,1085.51
0,HorizontalPipe,1086.44,1085.51
