996.834
837.156
15
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,0,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
15
0,-1,601.179,506.337
0,5,498.175,818.379
0,2,988.035,830.497
1,-1,757.635,933.535
4,-1,911.89,896.153
2,-1,1061.69,384.139
5,-1,1370.55,949.932
8,-1,674.978,978.704
9,-1,1158.63,748.412
10,-1,1036.65,986.91
11,-1,1806.88,763.84
11,-1,2071.88,500.84
11,-1,2342.38,760.84
11,4,1523.03,489.37
6,4,1254.03,641.37
3
0,BlueCube,-217.468,538.147
1,GroundCube,104.293,1196.94
0,RedCube,-230.829,987.291
44
1,665.053,181.136,2
2,612.121,864.041,-136
2,1765.63,844.512,191
2,2083.8,827.467,94
2,2191.75,836.937,68
2,2178.5,853.982,-200
2,1903.89,844.512,-123
2,1716.39,850.194,-41
2,1788.36,844.512,178
2,2159.56,799.06,124
2,2011.84,831.255,-257
2,1646.32,795.272,102
2,1947.44,799.06,100
2,2208.8,825.574,-5
2,2085.7,749.819,94
2,2112.21,793.378,-195
2,1888.74,846.406,3
2,1983.43,840.724,255
2,2280.76,804.741,-234
2,1858.43,747.925,-66
2,1913.36,725.199,132
2,2282.66,764.97,-195
2,1718.29,742.244,-37
2,1945.55,717.624,117
2,2091.38,734.668,-111
2,1788.36,713.836,-41
2,2017.52,727.093,128
2,2186.07,734.668,-85
2,1860.33,728.987,-106
2,1879.27,710.048,407
2,2356.52,740.35,-240
2,1977.75,757.395,-102
2,1589.51,744.138,-24
2,2049.71,719.517,179
2,2424.7,766.864,-611
2,1585.72,738.456,348
2,2424.7,713.836,-573
2,1848.96,725.199,452
2,1676.62,740.35,465
2,2068.65,736.562,-248
2,2240.99,710.048,-600
2,2047.82,706.26,-174
2,1864.11,694.897,306
2,1826.24,717.624,439
